Symbol,Current Price,Market Cap,Volatility,P/E Ratio,Dividend Yield,Sectors_Basic Materials,Sectors_Communication Services,Sectors_Consumer Cyclical,Sectors_Consumer Defensive,Sectors_Energy,Sectors_Financial Services,Sectors_Healthcare,Sectors_Industrials,Sectors_Real Estate,Sectors_Technology,Sectors_Utilities
MSFT,402.65,2991866511360,0.014344895579293806,30.138474,0.0072000003,False,False,False,False,False,False,False,False,False,True,False
AAPL,170.12,2626975956992,0.012051062743863375,23.726637,0.0053,False,False,False,False,False,False,False,False,False,True,False
NVDA,859.64,2149100027904,0.029335147498999455,28.837303,0.0002,False,False,False,False,False,False,False,False,False,True,False
AMZN,174.12,1808654008320,0.019152375268222582,32.79096,,False,False,True,False,False,False,False,False,False,False,False
GOOG,133.78,1657520783360,0.017612038226220122,17.129322,,False,True,False,False,False,False,False,False,False,False,False
GOOGL,132.67,1654315155456,0.017539748075835408,16.965473,,False,True,False,False,False,False,False,False,False,False,False
META,490.22,1249771782144,0.02330015359169662,21.360348,0.004,False,True,False,False,False,False,False,False,False,False,False
BRK-B,400.74,867610066944,0.008431511806128044,20.785269,,False,False,False,False,False,True,False,False,False,False,False
LLY,777.59,738838052864,0.018457042477231508,42.67783,0.0066000004,False,False,False,False,False,False,True,False,False,False,False
AVGO,1342.75,622258552832,0.02126548088031208,23.96484,0.015,False,False,False,False,False,False,False,False,False,True,False
TSLA,180.74,575618940928,0.03054692916995661,43.23924,,False,False,True,False,False,False,False,False,False,False,False
V,279.38,573866115072,0.00945508588680398,25.034052,0.0073,False,False,False,False,False,True,False,False,False,False,False
JPM,188.55,543093751808,0.01266370383703313,11.646077,0.0227,False,False,False,False,False,True,False,False,False,False,False
WMT,60.04,483489513472,0.009628722152282698,23.271318,0.014099999,False,False,False,True,False,False,False,False,False,False,False
UNH,473.15,436213088256,0.013254644138729756,15.092504,0.0154,False,False,False,False,False,False,True,False,False,False,False
