Symbol,Sectors,Current Price,Market Cap,Volatility,P/E Ratio,Dividend Yield
MSFT,Technology,402.65,2991866511360,0.01435908377988813,30.624254,0.0075
AAPL,Technology,170.12,2626975956992,0.01201813756214657,23.603352,0.0057
NVDA,Technology,859.64,2149100027904,0.029392726595502454,31.024103,0.0002
AMZN,Consumer Cyclical,174.12,1808654008320,0.019181836492686715,34.069366,
GOOG,Communication Services,133.78,1657520783360,0.017632975760016188,17.316261,
GOOGL,Communication Services,132.67,1654315155456,0.01757875518499786,17.184143,
META,Communication Services,490.22,1249771782144,0.02336769990622115,22.317646,0.004
BRK-B,Financial Services,400.74,867610066944,0.008358660764479204,20.870852,
LLY,Healthcare,777.59,738838052864,0.01836918870660298,42.818882,0.0067000003
AVGO,Technology,1342.75,622258552832,0.021311762187801432,25.111727,0.0156
TSLA,Consumer Cyclical,180.74,575618940928,0.03046415910097173,42.94471,
V,Financial Services,279.38,573866115072,0.00939477245537861,24.933693,0.0074
JPM,Financial Services,188.55,543093751808,0.012492855985949916,11.604075,0.0222
WMT,Consumer Defensive,60.04,483489513472,0.00956687638208563,23.39535,0.0137
UNH,Healthcare,473.15,436213088256,0.013234606603187853,15.272089,0.0159
MA,Financial Services,467.52,436145684480,0.010470148262688175,27.879547,0.0056
XOM,Energy,105.64,419162619904,0.014959595689684954,11.337909,0.0356
JNJ,Healthcare,159.97,385330937856,0.009908725046003455,14.390398,0.0299
HD,Consumer Cyclical,378.45,376656920576,0.011999102789977035,22.862782,0.0238
PG,Consumer Defensive,159.32,374883155968,0.009116560305895072,23.077585,0.023599999
COST,Consumer Defensive,759.95,337211097088,0.010501954944653962,45.673836,0.0053
AMD,Technology,205.13,331447009280,0.02993537966509514,38.643513,
ABBV,Healthcare,179.16,316480782336,0.011918079021343795,14.788698,0.0342
MRK,Healthcare,122.83,311084187648,0.011148426966121403,12.703893,0.0249
ORCL,Technology,110.94,304965189632,0.019132766078480003,18.414791,0.0143
CRM,Technology,298.75,289189986304,0.016668404735841805,27.49273,0.0053
BAC,Financial Services,35.39,278613426176,0.016997647793253145,10.357558,0.0271
CVX,Energy,149.59,277829025792,0.013951346565409414,10.216826,0.044
NFLX,Communication Services,598.5,259006857216,0.02342647607115527,28.78477,
KO,Consumer Defensive,59.52,256677609472,0.008084323115896989,19.813334,0.0326
ADBE,Technology,544.84,246565158912,0.019818059834907416,27.377645,
